produk;user;review;klasifikasi
acnes facewash;ilysmzaaa;acnes facial wash ini enak tapi ga recommended buat yang lagi nyari fw gentle, i mean produk ini ada fragrance & alcohol. dari segi ingredients banyak kandungan potensi comedogenic dan juga ga fungal acne safe friendly. so, meski ada kandungan comedogenic but produk ini dibilas setelah pemakaiannya jadi oke² aja bagi kulit yg tahan dg alcohol dan perfume;0
acnes facewash;AbiyazkaZahra;"oke biasanya aku minta punya adek sekarang aku minta punya kakak, kebetulan lagi main ke rumahnya dan lupa bawa sabun muka, jadinya aku minta punya dia. tekstur sesuai mamanya ""creamy"", busa lumayan ada deh, wangi ngga terlalu (mungkin karena didesign untuk kulit sensitif ya), sayangnya 1000 sayang kulit aku ga cocok sama produk ini. pake 1x pagi hari, sorenya langsung ada jerawat besar di hidung. padahal lagi ga ganti skincare apapun. maaf ya acne kita ga berjodoh padahal klaim nya bisa untuk kulit sensitif tapi di aku ga cocok";0
acnes facewash;Echasaras;Mengandung bahan pembersih yg mengeringkan kulit myristic acid dan fragrance alergi kulit dan alkohol zat yg pengering kulit melucuti kulit menggerus hydrasi kulit. Ini pembersih yg buruk untuk kulit sensitif blemish prone skin yg rentan kemerahan, ini mengeringkan kulit lebih jauh bahkan untuk kulit berminyak membuat kering lapisan atas sedangkan berminyak dibawahnya dan memperburuk tekstur kulit. Untuk kulit normal berminyak ini bagus;0
acnes facewash;mentaritiara;facial wash yang bikin kulit jadi kering banget huhu, mungkin buat orang yang kulitnya berminyak dan berjerawat banget worth it. tapi buat aku yang kulitnya kering dan gaterlalu banyak jerawat malah jadi memperparah jerawat karena kering kerontang kulitnya. oh iyaa cuma bagusnya fw ini bikin cerah gitu sih di aku;0
acnes facewash;firyalane;kulitku berminya sekalinya cuci muka pake facial wash inj malah ketarik bikin kering bgt di wajah. dan masih ada kandungan alkohol parfum jadi bagi kulitku yg sensitif bukan solusi facial wash pas lagi breakout. aku big no untuk rekomendasi facial wash ini;0
acnes facewash;RaionChan;Bruntusan + acne, nyoba make produk Acnes ftft. Abis satu tube tapi tetep gaada perubahan. Padahal udah berharap banyak yang klaimnya bisa bantu ngurangin jerawat :( minusnya ga ngaruh buat jerawat, buat plusnya sih ga nambah parah. Jadi neutral aja gituu. Worth to try sebenernya, make ini di awal2 kenal skincare sih;0
acnes facewash;oktev23;ACNES Creamy Wash ini gak aku lanjut karena memang ga cocok , kulit wajah jadi kering banget dan muka tambah merah dan jerawat juga gak mereda. tapi produknya banyak tersedia diberbagai minimarket dan mudah ditemuin;0
acnes facewash;Nofias11;Kurang cocok pakai ini bestie:) padahal banyak sekali yang cocok. Tekstur creamy dan setelah pemakaian tidak bikin ketarik tapi rasanya kurang nyaman dikulitku, rasa perih sedikit, dan beberapa kali pakai muncul jerawat kecil, terpaksa stop pemakaian. Harga yang affordable tapi tidak ramah dikulitku, sorry to say:);0
acnes facewash;agnes10;pengen nyobain karna dulu wajah masih beruntusan parah tapi baru seminggu cobain ternyata ga ada hasilnya, sedih banget malah wajah jadi makin parah+iritasi tapi ini di kulit aku ya guys gtau kalo di kalian bakal gimana;0
acnes facewash;garinaulia;tidaaaaaaaaaaaaaaak. kulit wajahku kering banget banget banget. maaf Acnes kita ga cocok. jerawat juga gak mereda. aku gak lanjut karena memang ga cocok huft. tapi produknya banyak tersedia diberbagai minimarket jadi mudah.;0
acnes facewash;lafille_moon;aku salah beli, waktu itu langsung aja ambil fw ini pas lagi di minimarket, dan ternyata ga cocok sama sekali. kuliktu mulai muncul bruntusan dan jerawat di bagian pipi :(. tapi inget ya kulit orang itu beda-beda!;0
acnes facewash;Alda_audiva22;pernah ngalami wajah yang hancur banget, acne dimana² sampai aku ikhtiar dan beli produk² nya acnes. but i don't know why there isn't change in my face. sedih bangettt karena claimnya gak sesuai dengan hasilnya. Mungkin di aku aja yang kurang cocok kali ya. soalnya di beberapa orang ada yang review dia cocok sih pakai ini. Alhasil semua yang aku beli tadi aku kasih ke bestie aku.;0
acnes facewash;Hanyyy;"Entah kenapa gak pernah cocok pakai produk acnes huhuuu padahal banyak banget temen"" yang pake dan harganya ramah di kantong. Untuk face wash ini setelah pakai kulit aku jadi kering banget dan coba aku telatenin pakai selama beberapa minggu daripada kebuang eh ternyata malah muncul jerawat besar- besar.";0
acnes facewash;Permatadiah;Reviewnya secara umum bagus-bagus dari yang lain, tapi sayang banget di aku gak berpengaruh, sedih banget banget banget gak cocok di aku, awalnya yang cuma satu jerawat aja tiba-tiba jadi bruntusan di aku, bruntusan parah gak cuma di jidat tapi di pipi juga, akhirnya aku stop pemakaiannya, ini di kulitku, mungkin di kalian cocok;0
acnes facewash;oliviadlya;awalnya sih di aku biasa aja ya, tadinya kulit aku cuman bruntusan biasa, trus aku coba pake ini dan liat ingredients nya juga lumayan lah, trus semingguan kata temenku kok jadi merah merah gitu jerawat nya jadi breakout, bener bener meraahh banget jerawat di mana mna, tapi itu di kulit aku, gatau kalo di kulit kalian gimana, cocok cocokan aja yagesya;0
acnes facewash;beebeteity;Bnyak review bagus klo produk acnes ini bagus banget buat sembuhin perkara jerawat. But. Disayangkan bnget knapa ya di muka aku jadi kering gtu. Jdnya klo habis cuci muka kaya ketarik. Ditelatenin juga kaya yg prosesnya lama pisan buat nangganin muka pas aku jerawatan. Sayang sekli padahal aku pengen bngt stay, krna harganya dan belinya mudah dijangkau;0
acnes facewash;Angelica12_;Bikin wajah kering banget, ketarik, tapi jerawat juga ga sembuh dan komedo juga ga ada berkurang. Pori-pori wajah membesar karena kulit semakin dehidrasi. Setelah mencuci muka wajah terasa kencang. Tidak cocok untuk kulit saya yang oily dehidrasi.;0
